"","x"
"1","Q8BI84"
"2","Q91ZX7"
"3","Q9JKR6"
"4","P08113"
"5","Q91ZV0"
"6","P09103"
"7","Q91W90"
"8","O08601-2"
"9","P20029"
"10","P08003"
"11","Q8BHN3-2"
"12","Q8BHN3"
"13","Q6P5E4"
"14","Q8VCT4"
"15","Q8VCC2"
"16","P23953"
"17","P20918"
"18","P27773"
"19","Q91WU0"
"20","Q64176"
"21","P37040"
"22","Q91YW3"
"23","Q6GQT9"
"24","P28666"
"25","P28665"
"26","E9Q035"
"27","Q921I1"
"28","P42932"
"29","Q02819"
"30","Q61838"
"31","Q8BSY0"
"32","Q8K169"
"33","Q8BWQ1"
"34","A2A7A7"
"35","Q8C7X2"
"36","Q9D0F3"
"37","Q8BK48"
"38","Q8QZR3"
"39","E9PV38"
"40","Q8BMK4"
"41","P07724"
"42","P15105"
"43","O08795-2"
"44","Q3TQC7"
"45","Q9D024"
"46","Q63880"
"47","Q8VCU1"
"48","P14211"
"49","O08807"
"50","A0A0R4J0I1"
"51","P35564"
"52","P55302"
"53","Q8BGD9"
"54","Q8R180"
"55","Q8R2E9"
"56","Q8K2C7"
"57","G3UWS4"
"58","Q99LI2"
"59","P50172"
"60","Q03311"
"61","A0A0R4J038"
"62","E9PZD8"
"63","Q9ESB3"
"64","P32261"
"65","Q07113"
"66","P70302"
"67","P09055"
"68","Q9D1Q6"
"69","O35887"
"70","Q6XLQ8"
"71","P24668"
"72","Q00623"
"73","Q3TMX5"
"74","E9Q8I0"
"75","Q9ERE7"
"76","Q8BFZ9"
"77","Q91X78"
"78","Q8VEH8"
"79","Q9DC23"
"80","Q3UKN6"
"81","Q8VC81"
"82","P18242"
"83","Q9Z2G6"
"84","Q8R0X7"
"85","Q80UU9"
"86","P57759"
"87","Q91ZW2"
"88","P34927"
"89","Q9DBH5"
"90","P21614"
"91","Q9EPS3"
"92","O70378"
"93","G3X8T3"
"94","Q8BRH0"
"95","E9Q8B5"
"96","E9QKW2"
"97","E9QP"
"98","Q9EPK6"
"99","Q9DAU1"
"100","Q9ERR7"
"101","Q99KI3"
"102","Q9CRD2"
"103","Q9CYA0"
"104","Q8CJH3"
"105","Q80W54"
"106","Q8BQ47"
"107","Q8BM72"
"108","P39039"
"109","P41317"
"110","Q9QXT0"
"111","Q9D1D4"
"112","Q99KF1"
"113","Q8R1V4"
"114","Q9CQ45"
"115","P45878"
"116","O54782"
"117","Q3UZ09"
"118","Q9CQE7-2"
"119","Q922Q9"
"120","Q9CQU0"
"121","Q8BL63"
"122","Q9CZX9"
"123","O54998"
"124","Q8CIM3"
"125","Q8K2I4"
"126","Q05186"
"127","Q9CQF9"
"128","P59481"
"129","Q01339"
"130","Q62468"
"131","Q6ZWQ7"
"132","Q61335"
"133","P26262"
"134","Q8BH97"
"135","Q8BFR4"
"136","Q9D7N9"
"137","D3YZZ5"
"138","Q60715-2"
"139","Q8R093"
"140","G5E8J0"
"141","Q9Z0M5"
"142","Q3TAS6"
"143","Q91XD7"
"144","P18572"
"145","Q8VHI3"
"146","Q8VDL4"
"147","O88531"
"148","Q09200"
"149","Q9CXE7"
"150","Q61543"
"151","P06728"
"152","P01887"
"153","Q8R0F3"
"154","Q99P87"
"155","Q9JJ06"
"156","G3X9H7"
"157","Q01237"
"158","Q8BXZ1"
"159","D3Z4E2"
"160","P30204"
"161","P47877"
"162","Q8C341-2"
"163","P63005"
"164","Q8BP92"
"165","B2KFW1"
"166","Q07968"
"167","Q61830"
"168","E9QQ30"
"169","P42703-2"
"170","P54818"
"171","Q9QZ25"
"172","Q9EPR2"
"173","I7HPW8"
"174","P62342"
"175","Q3V3R4"
"176","Q8VD31"
"177","E9Q309"
"178","P43406"
"179","G5E8F8"
"180","A0A087WQ44"
"181","A2AS37"
"182","A2ARZ3"
"183","Q8K389"
"184","O08599-2"
"185","Q52KF3-3"
"186","Q9WV54"
"187","E9Q4X2"
"188","Q91XL9"
"189","E9QPR5"
